iter	Passed	Remaining
630	9861	5767
631	9880	5753
632	9898	5739
633	9916	5724
634	9932	5708
635	9952	5695
636	9970	5681
637	9988	5667
638	10007	5653
639	10026	5639
640	10045	5626
641	10060	5610
642	10075	5594
643	10089	5577
644	10101	5559
645	10116	5543
646	10135	5529
647	10155	5516
648	10177	5504
649	10203	5494
650	10227	5482
651	10248	5470
652	10272	5458
653	10296	5447
654	10318	5435
655	10337	5421
656	10359	5408
657	10382	5396
658	10407	5385
659	10428	5372
660	10449	5359
661	10472	5346
662	10492	5333
663	10511	5318
664	10524	5301
665	10542	5286
666	10561	5272
667	10578	5257
668	10593	5241
669	10607	5224
670	10624	5209
671	10641	5193
672	10658	5178
673	10675	5163
674	10692	5148
675	10709	5133
676	10728	5118
677	10746	5104
678	10762	5088
679	10778	5072
680	10793	5055
681	10808	5039
682	10822	5022
683	10835	5005
684	10848	4988
685	10862	4972
686	10878	4956
687	10895	4940
688	10912	4925
689	10931	4911
690	10949	4896
691	10968	4881
692	10986	4867
693	11002	4851
694	11017	4835
695	11034	4819
696	11049	4803
697	11063	4786
698	11077	4770
699	11090	4752
700	11104	4736
701	11118	4719
702	11131	4702
703	11145	4686
704	11157	4668
705	11172	4652
706	11190	4637
707	11206	4621
708	11223	4606
709	11240	4591
710	11257	4576
711	11274	4560
712	11289	4544
713	11305	4528
714	11320	4512
715	11335	4496
716	11349	4479
717	11364	4463
718	11377	4446
719	11390	4429
720	11404	4413
721	11424	4398
722	11446	4385
723	11470	4372
724	11494	4359
725	11517	4346
726	11541	4334
727	11568	4322
728	11590	4308
729	11612	4295
730	11634	4281
731	11654	4266
732	11675	4253
733	11697	4239
734	11720	4225
735	11737	4210
736	11751	4193
737	11766	4177
738	11779	4160
739	11794	4144
740	11808	4127
741	11821	4110
742	11836	4094
743	11850	4077
744	11864	4061
745	11878	4044
746	11892	4028
747	11907	4011
748	11921	3994
749	11934	3978
750	11948	3961
751	11962	3944
752	11975	3928
753	11989	3911
754	12003	3895
755	12018	3878
756	12033	3862
757	12050	3847
758	12066	3831
759	12080	3815
760	12095	3798
761	12107	3781
762	12119	3764
763	12131	3747
